Number;Author;Publication Year;Title;Journal;DOI
1;Perrard, A.;2009;Observations on the colony activity of the asian hornet vespa velutina lepeletier 1836 (hymenoptera: Vespidae: Vespinae) in france;Annales de la Societe entomologique de France (N.S.);10.1080/00379271.2009.10697595
2;Monceau, K.;2012;Predation pressure dynamics study of the recently introduced honeybee killer Vespa velutina : learning from the enemy;Apidologie;10.1007/s13592-012-0172-7
3;Monceau, K.;2013;Native prey and invasive predator patterns of foraging activity: The case of the yellow-legged hornet predation at european honeybee hives.;PloS one;10.1371/journal.pone.0066492
4;Monceau, K.;2014;Spatial distribution of Vespa velutina individuals hunting at domestic honeybee hives: heterogeneity at a local scale;Insect science;10.1111/1744-7917.12090
5;Arca, M.;2014;Defensive behaviour of Apis mellifera against Vespa velutina in France: Testing whether European honeybees can develop an effective collective defence against a new predator;Behavioural Processes;10.1016/j.beproc.2014.05.002
6;Monceau, K.;2017;Daily and seasonal extranidal behaviour variations in the invasive yellow-legged hornet, vespa velutina lepeletier (hymenoptera: Vespidae);Journal of Insect Behavior;10.1007/s10905-017-9607-3
7;Monceau, K.;2017;How apis mellifera behaves with its invasive hornet predator vespa velutina;Journal of Insect Behavior;10.1007/s10905-017-9658-5
8;Budge, G.;2017;The invasion, provenance and diversity of vespa velutina lepeletier (hymenoptera: Vespidae) in great britain;PLoS ONE;10.1371/journal.pone.0185172
9;Jacques, M.;2017;A pan-European epidemiological study reveals honey bee colony survival depends on beekeeper education and disease control;PloS one;10.1371/journal.pone.0172591
10;Poidatz, J.;2018;Activity rhythm and action range of workers of the invasive hornet predator of honeybees Vespa velutina, measured by radio frequency identification tags.;Ecology and evolution;10.1002/ece3.4182
11;Courtois, P.;2018;A cost-benefit approach for prioritizing invasive species;Ecological Economics;10.1016/j.ecolecon.2017.11.037
12;Requier, F.;2018;Predation of the invasive Asian hornet affects foraging activity and survival probability of honey bees in Western Europe;Journal of Pest Science;10.1007/s10340-018-1063-0
13;Leza, M.;2019;The impact of the invasive species Vespa velutina on honeybees: A new approach based on oxidative stress.;The Science of the total environment;10.1016/j.scitotenv.2019.06.511
14;Requier, F.;2019;A biodiversity-friendly method to mitigate the invasive Asian hornet's impact on European honey bees;Journal of Pest Science;10.1007/s10340-019-01159-9
15;Gregorc, A.;2020;Monitoring of honey bee colony losses: a special issue;Diversity;10.3390/d12100403
16;Barbet-Massin, M.;2020;The economic cost of control of the invasive yellow-legged Asian hornet;NeoBiota : advancing research on alien species and biological invasions;10.3897/neobiota.55.38550
17;Renault, D.;2021;Biological invasions in France: Alarming costs and even more alarming knowledge gaps;NeoBiota : advancing research on alien species and biological invasions;10.3897/neobiota.67.59134
18;Verdasca, M. J.;2021;A metabarcoding tool to detect predation of the honeybee Apis mellifera and other wild insects by the invasive Vespa velutina;Journal of Pest Science;10.1007/s10340-021-01401-3
19;Angulo, E.;2021;Economic costs of invasive alien species in Spain;NeoBiota : advancing research on alien species and biological invasions;10.3897/neobiota.67.59181
20;Rome, Q.;2021;Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France;Annales de la Societe entomologique de France (N.S.);10.1080/00379271.2020.1867005
21;Dieguez-Anton, A.;2022;Monitoring study in honeybee colonies stressed by the invasive hornet vespa velutina.;Veterinary sciences;10.3390/vetsci9040183
22;Rojas-Nossa, S. V.;2022;Effectiveness of electric harps in reducing Vespa velutina predation pressure and consequences for honey bee colony development.;Pest management science;10.1002/ps.7132
23;Bouzar, C.;2022;Chemical and genetic evidences that multiple hornet colonies attack honeybee colonies;Insectes Sociaux;10.1007/s00040-022-00853-9
24;Lioy, S.;2022;The invasive hornet Vespa velutina : distribution, impacts and management options;CABI Reviews;10.1079/cabireviews202217030
25;Poidatz, J.;2023;Density of predating Asian hornet's at hives disturbs the 3D flight performance of honey bees and decreases predation success.;Ecology and evolution;10.1002/ece3.9902
26;O'Shea-Wheller, T. A.;2023;Quantifying the impact of an invasive hornet on bombus terrestris colonies.;Communications biology;10.1038/s42003-023-05329-5
27;Stainton, K.;2023;Molecular identification of asian hornet vespa velutina nigrithorax prey from larval gut contents: a promising method to study the diet of an invasive pest.;Animals : an open access journal from MDPI;10.3390/ani13030511
28;Perez-Granados, C.;2023;Testing the selectiveness of electric harps: a mitigation method for reducing Asian hornet impact at beehives;Journal of Apicultural Research;10.1080/00218839.2023.2277988
29;Minaud, E.;2024;How stressors disrupt honey bee biological traits and overwintering mechanisms.;Heliyon;10.1016/j.heliyon.2024.e34390
30;Dieguez-Anton, A.;2024;Management of honey bee (Hymenoptera: Apidae) colonies under yellow-legged hornet (Hymenoptera: Vespidae) pressure;Journal of Integrated Pest Management;10.1093/jipm/pmae033
31;Pedersen, S.;2025;Broad ecological threats of an invasive hornet revealed through a deep sequencing approach.;The Science of the total environment;10.1016/j.scitotenv.2025.178978
32;Herrera, C.;2025;Assessing predation pressure of Vespa velutina on local fauna through DNA metabarcoding;Journal of Zoology;10.1111/jzo.70033
33;Dieguez-Anton, A.;2025;Long-term Vespa velutina nigrithorax pressure: Honey bee risk survival to alien invasion;Apidologie;10.1007/s13592-025-01158-z
